gameid,league,year,date,game,side,position,playername,teamname,champion,result
TRLH3/1000420149,WLDs,2014,2014-09-20 12:48:58,1.0,Red,jng,Clearlove,EDward Gaming,Kha'Zix,1
TRLH3/1000420149,WLDs,2014,2014-09-20 12:48:58,1.0,Red,mid,U,EDward Gaming,Zilean,1
TRLH3/1000420149,WLDs,2014,2014-09-20 12:48:58,1.0,Red,bot,NaMei,EDward Gaming,Tristana,1
TRLH3/1000420149,WLDs,2014,2014-09-20 12:48:58,1.0,Red,sup,FZZF,EDward Gaming,Thresh,1
TRLH3/1000430162,WLDs,2014,2014-09-20 13:44:25,1.0,Blue,top,fredy122,SK Gaming,Alistar,1
TRLH3/1000430162,WLDs,2014,2014-09-20 13:44:25,1.0,Blue,jng,Svenskeren,SK Gaming,Kha'Zix,1
TRLH3/1000430162,WLDs,2014,2014-09-20 13:44:25,1.0,Blue,mid,Jesiz,SK Gaming,Orianna,1
TRLH3/1000430162,WLDs,2014,2014-09-20 13:44:25,1.0,Blue,bot,CandyPanda,SK Gaming,Lucian,1
TRLH3/1000430162,WLDs,2014,2014-09-20 13:44:25,1.0,Blue,sup,nRated,SK Gaming,Morgana,1
TRLH3/1000430162,WLDs,2014,2014-09-20 13:44:25,1.0,Red,top,Achie,Taipei Assassins,Ryze,0
TRLH3/1000430162,WLDs,2014,2014-09-20 13:44:25,1.0,Red,jng,Winds,Taipei Assassins,Lee Sin,0
TRLH3/1000430162,WLDs,2014,2014-09-20 13:44:25,1.0,Red,mid,Morning,Taipei Assassins,Yasuo,0
TRLH3/1000430162,WLDs,2014,2014-09-20 13:44:25,1.0,Red,bot,BeBe,Taipei Assassins,Ezreal,0
TRLH3/1000430162,WLDs,2014,2014-09-20 13:44:25,1.0,Red,sup,Chieh,Taipei Assassins,Janna,0
TRLH3/1000440012,WLDs,2014,2014-09-21 08:58:17,1.0,Blue,top,Dyrus,TSM,Rumble,1
TRLH3/1000440012,WLDs,2014,2014-09-21 08:58:17,1.0,Blue,jng,Amazing,TSM,Lee Sin,1
TRLH3/1000440012,WLDs,2014,2014-09-21 08:58:17,1.0,Blue,mid,Bjergsen,TSM,Orianna,1
TRLH3/1000440012,WLDs,2014,2014-09-21 08:58:17,1.0,Blue,bot,WildTurtle,TSM,Tristana,1
TRLH3/1000440012,WLDs,2014,2014-09-21 08:58:17,1.0,Blue,sup,Lustboy,TSM,Nami,1
TRLH3/1000440012,WLDs,2014,2014-09-21 08:58:17,1.0,Red,top,Cola,Royal Club,Ryze,0
TRLH3/1000440012,WLDs,2014,2014-09-21 08:58:17,1.0,Red,jng,inSec,Royal Club,Kha'Zix,0
TRLH3/1000440012,WLDs,2014,2014-09-21 08:58:17,1.0,Red,mid,Corn,Royal Club,Fizz,0
TRLH3/1000440012,WLDs,2014,2014-09-21 08:58:17,1.0,Red,bot,Uzi,Royal Club,Caitlyn,0
TRLH3/1000440012,WLDs,2014,2014-09-21 08:58:17,1.0,Red,sup,Zero,Royal Club,Janna,0
TRLH3/1000440016,WLDs,2014,2014-09-21 10:21:51,1.0,Blue,top,Prydz,ahq eSports Club,Irelia,1
TRLH3/1000440016,WLDs,2014,2014-09-21 10:21:51,1.0,Blue,jng,Naz,ahq eSports Club,Lee Sin,1
TRLH3/1000440016,WLDs,2014,2014-09-21 10:21:51,1.0,Blue,mid,Westdoor,ahq eSports Club,Twisted Fate,1
TRLH3/1000440016,WLDs,2014,2014-09-21 10:21:51,1.0,Blue,bot,GarnetDevil,ahq eSports Club,Graves,1
TRLH3/1000440016,WLDs,2014,2014-09-21 10:21:51,1.0,Blue,sup,GreenTea,ahq eSports Club,Leona,1
TRLH3/1000440016,WLDs,2014,2014-09-21 10:21:51,1.0,Red,top,fabFabulous,Dark Passage,Nidalee,0
TRLH3/1000440016,WLDs,2014,2014-09-21 10:21:51,1.0,Red,jng,Crystal,Dark Passage,Vi,0
TRLH3/1000440016,WLDs,2014,2014-09-21 10:21:51,1.0,Red,mid,Naru,Dark Passage,Ahri,0
TRLH3/1000440016,WLDs,2014,2014-09-21 10:21:51,1.0,Red,bot,HolyPhoenix,Dark Passage,Lucian,0
