gameid,league,year,date,game,side,position,playername,teamname,champion,ban1,ban2,ban3,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstbloodkill,firstbloodvictim
TRLH3/1000430107,WLDs,2014,2014-09-19 12:19:27,1.0,Red,top,Looper,Samsung White,Ryze,Nidalee,Maokai,Lucian,1408,1,4,0,2,15,0,1.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430107,WLDs,2014,2014-09-19 12:19:27,1.0,Red,jng,DanDy,Samsung White,Lee Sin,Nidalee,Maokai,Lucian,1408,1,2,0,9,15,0,0.0,0.0,0.0,0.0,1.0,0.0
TRLH3/1000430107,WLDs,2014,2014-09-19 12:19:27,1.0,Red,mid,PawN,Samsung White,Talon,Nidalee,Maokai,Lucian,1408,1,1,0,2,15,0,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430107,WLDs,2014,2014-09-19 12:19:27,1.0,Red,bot,imp,Samsung White,Vayne,Nidalee,Maokai,Lucian,1408,1,8,0,2,15,0,2.0,1.0,1.0,1.0,0.0,0.0
TRLH3/1000430107,WLDs,2014,2014-09-19 12:19:27,1.0,Red,sup,Mata,Samsung White,Janna,Nidalee,Maokai,Lucian,1408,1,0,0,14,15,0,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430112,WLDs,2014,2014-09-19 13:15:17,1.0,Blue,top,Dyrus,TSM,Rumble,Nidalee,Zilean,Syndra,2456,1,2,1,7,14,4,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430112,WLDs,2014,2014-09-19 13:15:17,1.0,Blue,jng,Amazing,TSM,Lee Sin,Nidalee,Zilean,Syndra,2456,1,1,3,8,14,4,0.0,0.0,0.0,0.0,1.0,0.0
TRLH3/1000430112,WLDs,2014,2014-09-19 13:15:17,1.0,Blue,mid,Bjergsen,TSM,Xerath,Nidalee,Zilean,Syndra,2456,1,5,0,5,14,4,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430112,WLDs,2014,2014-09-19 13:15:17,1.0,Blue,bot,WildTurtle,TSM,Kog'Maw,Nidalee,Zilean,Syndra,2456,1,4,0,6,14,4,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430112,WLDs,2014,2014-09-19 13:15:17,1.0,Blue,sup,Lustboy,TSM,Janna,Nidalee,Zilean,Syndra,2456,1,2,0,8,14,4,1.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430112,WLDs,2014,2014-09-19 13:15:17,1.0,Red,top,Achie,Taipei Assassins,Lulu,Zed,Maokai,Alistar,2456,0,0,4,4,4,14,0.0,0.0,0.0,0.0,0.0,1.0
TRLH3/1000430112,WLDs,2014,2014-09-19 13:15:17,1.0,Red,jng,Winds,Taipei Assassins,Rengar,Zed,Maokai,Alistar,2456,0,0,4,4,4,14,0.0,0.0,0.0,0.0,0.0,0.0
