"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"GimGoon","FunPlus Phoenix","Top",18,"78%","56%",51,39,117,4.3,"50.1%","15.2%","19.6%","44%",-183,-16,-10.8,7,"21.0%",426,"21.5%",,251,"19.5%",,0.47,0.16,0.18
"Hana","J Team","Jungle",6,"50%","33%",3,18,45,2.7,"67.6%","4.2%","22.2%","17%",-476,-479,-12.2,4.2,"11.1%",218,"12.6%",,154,"14.1%",,1.06,0.47,0.43
"Hieu3","GAM Esports","Support",1,"0%","100%",1,1,0,1,"33.3%","33.3%","11.1%","0%",-390,-422,-3,1.4,"3.5%",52,"6.1%",,89,"8.8%",,1.51,0.46,0.33
"Humanoid","Splyce","Middle",11,"45%","36%",33,39,42,1.9,"56.0%","24.6%","27.7%","0%",-55,-70,2.3,9.2,"27.8%",428,"26.1%",,278,"24.2%",,0.46,0.18,0.21
"Huni","Clutch Gaming","Top",6,"0%","33%",16,26,24,1.5,"69.0%","27.6%","23.9%","17%",164,-196,6.5,8.6,"29.9%",564,"31.7%",,275,"25.6%",,0.32,0.15,0.39
"Hylissang","Fnatic","Support",10,"50%","50%",16,49,82,2,"71.5%","11.7%","32.5%","40%",214,71,3.4,2,"7.3%",336,"17.1%",,157,"13.0%",,1.19,0.37,0.39
"Impact","Team Liquid","Top",6,"50%","67%",12,17,20,1.9,"49.2%","18.5%","20.0%","17%",-34,107,-8.5,7.4,"22.7%",463,"27.4%",,240,"21.0%",,0.41,0.15,0.21
"JackeyLove","Invictus Gaming","ADC",14,"57%","57%",64,41,68,3.2,"63.2%","30.6%","18.1%","7%",-230,-188,1.8,9.4,"32.6%",515,"25.2%",,313,"26.9%",,0.34,0.14,0.39
"Jankos","G2 Esports","Jungle",18,"61%","78%",48,50,95,2.9,"59.1%","19.8%","19.3%","44%",15,58,-0.5,4.9,"13.7%",258,"15.4%",,197,"16.7%",,1,0.35,0.55
"Jensen","Team Liquid","Middle",6,"50%","67%",15,16,24,2.4,"60.0%","23.1%","18.8%","0%",-368,-115,-3.2,8.4,"25.8%",383,"23.3%",,253,"23.4%",,0.34,0.17,0.2
