tip,leto,datum,cas,st_igre,ime_ekipe,zmaga
MSI,2016,2016-05-05,05:03:22,1.0,G2 Esports,0
MSI,2016,2016-05-05,06:24:17,1.0,SK Telecom T1,0
MSI,2016,2016-05-05,06:24:17,1.0,Royal Never Give Up,1
MSI,2016,2016-05-05,07:54:24,1.0,Flash Wolves,1
MSI,2016,2016-05-05,07:54:24,1.0,SuperMassive Esports,0
MSI,2016,2016-05-05,08:50:35,1.0,Royal Never Give Up,1
MSI,2016,2016-05-05,08:50:35,1.0,G2 Esports,0
MSI,2016,2016-05-05,09:52:50,1.0,SuperMassive Esports,1
MSI,2016,2016-05-05,09:52:50,1.0,Counter Logic Gaming,0
MSI,2016,2016-05-05,10:53:20,1.0,SK Telecom T1,0
MSI,2016,2016-05-05,10:53:20,1.0,Flash Wolves,1
MSI,2016,2016-05-06,04:51:30,1.0,Flash Wolves,0
MSI,2016,2016-05-06,04:51:30,1.0,Royal Never Give Up,1
MSI,2016,2016-05-06,06:28:16,1.0,Counter Logic Gaming,1
MSI,2016,2016-05-06,06:28:16,1.0,SK Telecom T1,0
MSI,2016,2016-05-06,07:39:30,1.0,SuperMassive Esports,0
MSI,2016,2016-05-06,07:39:30,1.0,G2 Esports,1
MSI,2016,2016-05-06,08:44:41,1.0,Flash Wolves,1
MSI,2016,2016-05-06,08:44:41,1.0,SK Telecom T1,0
MSI,2016,2016-05-06,09:51:33,1.0,Counter Logic Gaming,1
MSI,2016,2016-05-06,09:51:33,1.0,SuperMassive Esports,0
MSI,2016,2016-05-06,10:50:06,1.0,G2 Esports,0
MSI,2016,2016-05-06,10:50:06,1.0,Royal Never Give Up,1
MSI,2016,2016-05-07,06:27:35,1.0,G2 Esports,1
MSI,2016,2016-05-07,06:27:35,1.0,SuperMassive Esports,0
MSI,2016,2016-05-07,07:15:22,1.0,Royal Never Give Up,1
MSI,2016,2016-05-07,07:15:22,1.0,Flash Wolves,0
MSI,2016,2016-05-07,08:27:46,1.0,SK Telecom T1,1
MSI,2016,2016-05-07,08:27:46,1.0,Counter Logic Gaming,0
MSI,2016,2016-05-07,09:08:19,1.0,Flash Wolves,1
MSI,2016,2016-05-07,09:08:19,1.0,G2 Esports,0
MSI,2016,2016-05-07,10:11:55,1.0,Counter Logic Gaming,1
MSI,2016,2016-05-07,10:11:55,1.0,Royal Never Give Up,0
